language,Audio_transcript,File,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s,provider,model,num_segments,real_time_factor,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,lwWER,toWER,OIWER,script_penalty,SemanticSim,LevenshteinSim,PIER,CS_Recall,CS_Precision,CS_F1
chattishgarhi,1TjPU551NT6trlGVy_SPG361Gc6msipoB,Chattishgarhi_278_2026,Chattishgarhi,All,15.33,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,8,0,assemblyai,universal,35,0.14x,132.075,0.76950,0.7471,0.7685,0.8046,0.1954,196,4.2,3396,72.6,6,0.1,0.7695,0.7695,0.7688,0,0.9217,0.2529,1,0,1,0
assamese,1VtTx8jWgWq9JC8znWmXfOmdkXCG4RZ4H,Assamese_9_4128,Assamese,All,20.73,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,3,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,181,0.26x,320.842,0.76920,0.5529,0.7421,0.8944,0.1056,1869,37.3,1804,36,183,3.7,0.8044,0.7185,0.7952,-0.0352,0.9899,0.4471,0,1,0,0
Spoken Tamil,1c6KN_oAJtCk-sRqM3QOhzXUM88Zkyyn7,Tamil_166_0827,Spoken Tamil,All,8.45,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,5,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,77,0.62x,314.62,0.76920,0.7123,0.7496,0.8395,0.1605,403,12.8,1934,61.5,82,2.6,0.7688,0.7692,0.7581,0.0004,0.9938,0.2877,0.9902,0.0164,0.25,0.0308
nepali,1EcUYt5dKIEDs7DcICDFXgo0doZOzMPxJ,Nepali_153_1908,Nepali,All,19.13,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,aws_transcribe,aws-transcribe,48,n/a,0,0.76710,0.6841,0.7641,0.8729,0.1271,1124,20.1,3153,56.3,22,0.4,0.7679,0.7671,0.7603,-0.0008,0.936,0.3159,1,0,1,0
nepali,1-k3C5iPRbsgJmBXtAnlM50xIlkCenYQR,Nepali_164_1847,Nepali,All,18.78,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Nepal,Nepal,5,0,gladia,gladia-v2,260,0.05x,51.056,0.76570,0.6569,0.7555,0.8673,0.1327,1156,20.1,3165,55.1,77,1.3,0.7667,0.7657,0.7645,-0.001,0.3981,0.3431,0.7703,0.2941,0.1991,0.2375
punjabi,17NCQUlzAxi4wjncPG-o0G96zkSMsHeLq,Punjabi_230_1614,Punjabi,All,16.23,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Punjab,Punjab,9,0,openai_gpt4o,gpt-4o-transcribe,206,0.39x,379.612,0.76540,0.5427,0.7426,0.9166,0.0834,2506,54.8,854,18.7,140,3.1,0.7676,0.7654,0.7813,-0.0023,0.9615,0.4573,1,0,1,0
kannada,1ZWY65knno5_H2f56rzVyBXy3g8Ha90Bd,Kannada_76_1454,Kannada,All,14.9,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Karnataka,Karnataka,12,0,gladia,gladia-v2,329,0.10x,89.04,0.76430,0.5325,0.7138,0.8971,0.1029,2279,53.5,675,15.8,301,7.1,0.7643,0.7643,0.7792,0,0.944,0.4675,0.9043,0.1561,0.3176,0.2093
Indian Bengali,1o9fwun5OLvhE3oa3Af8YNNcRijWDV67N,Bengali (Non Kolkata)_120_2028,Bengali (Non Kolkata),All,13.98,Medium (5-15 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,High (>20s),Rapid Exchange,West Bengal,West Bengal,27,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,85,0.28x,233.077,0.76350,0.6951,0.7533,0.8406,0.1594,546,12.9,2638,62.1,58,1.4,0.7635,0.7635,0.7633,0,0.9054,0.3049,1,0,0,0
nepali,1-SHtlemcF7PqMP1MAD0OhzNWy-MXWzxy,Nepali_77_1646,Nepali,All,16.77,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,openai_gpt4o,gpt-4o-transcribe,188,0.27x,267.638,0.76260,0.6742,0.7414,0.8256,0.1744,520,11.1,2922,62.3,134,2.9,0.7638,0.7626,0.7715,-0.0011,0.4132,0.3258,0.7176,0.375,0.9,0.5294
Spoken Tamil,1aRLL7sG1ExUVPkZTRvKgXbX6uYYAv0kU,Tamil_286_1647,Spoken Tamil,All,16.78,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,5,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,176,0.88x,885.131,0.76250,0.6916,0.74,0.8302,0.1698,807,12.4,3946,60.8,197,3,0.7624,0.7625,0.758,0.0001,0.9667,0.3084,0.9686,0.0385,0.1481,0.0611
chattishgarhi,1thBZ9LN4R7-WK6hKN9A_F7XMFWYdU8OV,Chattishgarhi_234_2000,Chattishgarhi,All,13.08,Medium (5-15 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,13,0,openai_gpt4o,gpt-4o-transcribe,158,0.50x,393.296,0.76150,0.6466,0.7293,0.8386,0.1614,568,16.8,1853,54.9,149,4.4,0.7615,0.7615,0.7654,0,0.9538,0.3534,1,0,0,0
assamese,19dl3V_CIDiKsns0rfZdP83eF14dUzv2h,Assamese_6_3912,Assamese,All,19.6,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Medium (5-20s),Monologue-like,,,12,0,gladia,gladia-v2,532,0.56x,652.828,0.76130,0.5262,0.7208,0.9069,0.0931,2752,58.3,577,12.2,265,5.6,0.7979,0.7094,0.7733,-0.0366,0.7145,0.4951,0.8182,0.25,0.0068,0.0133
bhojpuri,18ahkb1Tq_ljp0rvz_xXTafi04vQ4LD2_,Audio264,Gap,No Gap,8.55,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,No Gap,Monologue-like,,,0,0,assemblyai,universal,8,0.60x,307.36,0.76020,0.7343,0.7581,0.801,0.199,129,5,1810,70.7,7,0.3,0.7602,0.7602,0.76,0,0.8499,0.2657,1,0,1,0
assamese,1ZBkGg7WGjuDL2jMHPMUTBjBic9kcD-2r,Assamese_10_4422,Assamese,All,22.18,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Medium (5-20s),Monologue-like,,,12,0,gladia,gladia-v2,598,0.05x,69.111,0.75830,0.5136,0.7223,0.908,0.092,3107,58.2,674,12.6,266,5,0.7996,0.6931,0.7802,-0.0413,0.8783,0.4937,0,1,0,0
assamese,1xS2TKpwfiCTkCzx14qn-aJfxRMPzqFgL,Assamese_274_2956,Assamese,All,22.45,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,High (>20s),Balanced Dialogue,,,108,0,gladia,gladia-v2,659,0.03x,44.05,0.75780,0.5625,0.7267,0.907,0.093,2675,54.5,832,17,210,4.3,0.8027,0.7046,0.7709,-0.0449,0.7997,0.4672,0,1,0,0
chattishgarhi,1Zv3pLbv6N2mKSTpcIPKOBnU9Y39K4ona,Audio116,Chattishgarhi,All,15.1,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Low (1-5s),Monologue-like,,,4,0,gemini_pro,gemini-2.5-pro,1,0.15x,135.54,0.75770,1.2208,0.548,0.6838,0.3162,819,22.8,529,14.7,1376,38.3,0.7577,0.7577,0.6814,0,0.3678,0.3548,1,0,0,0
assamese,15RyHfMPoQzF0JiMF2d9UrPCHNg_1g9lc,Assamese_64_2722,Gap,No Gap,20.53,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,No Gap,Monologue-like,,,0,0,openai_gpt4o,gpt-4o-transcribe,120,0.20x,244.228,0.75730,0.5412,0.7364,0.8958,0.1042,1973,40.6,1571,32.3,138,2.8,0.7868,0.7081,0.777,-0.0295,0.9665,0.4588,1,0,1,0
chattishgarhi,1thBZ9LN4R7-WK6hKN9A_F7XMFWYdU8OV,Chattishgarhi_234_2000,Chattishgarhi,All,13.08,Medium (5-15 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,13,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,78,0.25x,193.834,0.75500,0.6508,0.739,0.8457,0.1543,582,17.2,1893,56.1,73,2.2,0.755,0.755,0.7559,0,0.9658,0.3492,1,0,1,0
nepali,1-SHtlemcF7PqMP1MAD0OhzNWy-MXWzxy,Nepali_77_1646,Nepali,All,16.77,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,aws_transcribe,aws-transcribe,60,n/a,0,0.75470,0.6173,0.7415,0.8901,0.1099,1638,34.9,1817,38.8,84,1.8,0.7544,0.7547,0.7566,0.0004,0.45,0.3827,1,0,1,0
assamese,1XmqJbbPBhmcuqGQyK4fvnKSJdW7E3U0j,Assamese_66_2723,Assamese,All,20.55,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,2,0,openai_gpt4o,gpt-4o-transcribe,167,0.30x,372.839,0.75460,0.5101,0.727,0.8898,0.1102,2083,40.7,1582,30.9,194,3.8,0.7747,0.6877,0.7629,-0.0201,0.9749,0.4899,1,0,1,0
assamese,1ZBkGg7WGjuDL2jMHPMUTBjBic9kcD-2r,Assamese_10_4422,Assamese,All,22.18,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Medium (5-20s),Monologue-like,,,12,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,127,0.26x,348.936,0.75360,0.5693,0.7323,0.8767,0.1233,1658,31.1,2209,41.4,155,2.9,0.7855,0.7006,0.7752,-0.0319,0.9749,0.4307,0,1,1,1
chattishgarhi,1vx-Re1oomeQHw1mrY5jiOdej8ECSWx9h,Chattishgarhi_152_2026,Chattishgarhi,All,13.5,Medium (5-15 min),Same Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,13,0,openai_gpt4o,gpt-4o-transcribe,148,0.30x,242.595,0.75360,0.6523,0.7306,0.8379,0.1621,572,16.7,1905,55.5,108,3.1,0.7536,0.7536,0.7533,0,0.6963,0.3477,1,0,0,0
bhojpuri,1zK9147BIZn27QOmeM7Ayru2m-QmtOh-e,Bhojpuri_14_2510,Bhojpuri,All,25.18,Long (15-30 min),Same Gender,Cross State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Bihar,UP,2,0,openai_gpt4o,gpt-4o-transcribe,237,0.36x,545.321,0.75340,0.64,0.7218,0.8469,0.1531,1366,21.7,3111,49.3,276,4.4,0.7534,0.7534,0.743,0,0.6651,0.36,0.9329,0.1098,0.1935,0.1401
bhojpuri,1tGjgv0AbWOcnkxVC0mWSnbu2ZWH8fNsq,Bhojpuri_6_1324,Bhojpuri,All,13.42,Medium (5-15 min),Same Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Bihar,UP,16,0,gladia,gladia-v2,342,0.05x,42.049,0.75330,0.5588,0.7055,0.8846,0.1154,1604,47.4,714,21.1,229,6.8,0.7533,0.7533,0.7543,0,0.6806,0.4412,0.9119,0.1351,0.073,0.0948
nepali,1k_QMejURVLFucc7OnDNWfN6IZIdTXHW5,Nepali_105_2546,Nepali,All,25.77,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,aws_transcribe,aws-transcribe,67,n/a,0,0.75180,0.6286,0.7408,0.8834,0.1166,2274,31.5,3038,42.1,107,1.5,0.7546,0.7518,0.754,-0.0028,0.9576,0.3714,1,0,1,0
telugu,1GV3p9qrUPNbO4mZeDMieBA_6FGhixw69,Telugu_288_1750,Telugu,All,17.83,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Andhra Pradesh,Andhra Pradesh,3,0,gladia,gladia-v2,317,0.08x,85.79,0.75130,0.6095,0.6999,0.8661,0.1339,1731,37.9,1363,29.9,335,7.3,0.752,0.7513,0.7637,-0.0007,0.8966,0.3905,0.9354,0.1193,0.3307,0.1754
chattishgarhi,1vx-Re1oomeQHw1mrY5jiOdej8ECSWx9h,Chattishgarhi_152_2026,Chattishgarhi,All,13.5,Medium (5-15 min),Same Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,13,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,140,0.29x,236.869,0.75100,0.641,0.7275,0.8378,0.1622,598,17.4,1867,54.4,111,3.2,0.751,0.751,0.7524,0,0.6963,0.359,1,0,1,0
assamese,1ItNsJM05bMFNIXUO1sTrSXJ3gFLWN_lB,Assamese_67_2723,Assamese,All,20.55,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,2,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,179,0.26x,322.578,0.75080,0.4969,0.7245,0.8889,0.1111,2122,41.2,1562,30.3,187,3.6,0.774,0.6833,0.7613,-0.0232,0.9971,0.5031,0,1,1,1
assamese,1MsPfF_fY0zbls4shEmoopnhnDhIqR1KD,Assamese_59_3123,Assamese,All,23.55,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,1,0,openai_gpt4o,gpt-4o-transcribe,120,0.19x,270.934,0.74980,0.5684,0.7247,0.8716,0.1284,1812,31.2,2342,40.3,201,3.5,0.7779,0.6937,0.7714,-0.0281,0.9364,0.4316,0,1,1,1
assamese,1ItNsJM05bMFNIXUO1sTrSXJ3gFLWN_lB,Assamese_67_2723,Assamese,All,20.55,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,2,0,openai_gpt4o,gpt-4o-transcribe,165,0.22x,275.44,0.74960,0.5167,0.7271,0.8852,0.1148,1947,37.8,1758,34.1,160,3.1,0.7716,0.6897,0.7601,-0.022,0.9929,0.4833,0,1,1,1
nepali,1IpSRInxmPC_m6FUd_MfOm8oKe4Hb8JP7,Nepali_75_1525,Nepali,All,15.42,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,aws_transcribe,aws-transcribe,61,n/a,0,0.74960,0.5967,0.7338,0.8829,0.1171,1418,33.8,1638,39,90,2.1,0.7498,0.7496,0.7497,-0.0002,0.6713,0.4033,1,0,1,0
Spoken Tamil,1cogTeDetnUYHCB5OtveKyGmzHxprmIWj,Tamil_86_1725,Spoken Tamil,All,17.42,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,6,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,254,0.87x,906.053,0.74880,0.645,0.7116,0.8437,0.1563,1471,23.4,2916,46.3,330,5.2,0.7492,0.7488,0.743,-0.0004,0.8069,0.355,0.964,0.0645,0.3256,0.1077
assamese,1VtTx8jWgWq9JC8znWmXfOmdkXCG4RZ4H,Assamese_9_4128,Assamese,All,20.73,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,3,0,openai_gpt4o,gpt-4o-transcribe,224,0.28x,344.647,0.74870,0.5155,0.7201,0.883,0.117,1972,39.3,1582,31.6,199,4,0.787,0.688,0.7757,-0.0383,0.9921,0.4845,0,1,1,1
nepali,1eB1hDP31JNCYKIT40LJAeab1wOF87otF,Nepali_329_1611,Nepali,All,16.18,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,14,0,aws_transcribe,aws-transcribe,66,n/a,0,0.74860,0.6345,0.7384,0.8726,0.1274,1253,27.3,2120,46.2,63,1.4,0.7503,0.7486,0.7515,-0.0017,0.9466,0.3655,1,0,1,0
bhojpuri,1Ytg_63yB6JP19v8QW-_wMQqgIpBpVT8l,Audio255,Bhojpuri,All,10.38,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,,,7,0,assemblyai,universal,27,0.65x,407.908,0.74840,0.7185,0.7455,0.7933,0.2067,174,5.6,2119,68.8,12,0.4,0.7484,0.7484,0.7476,0,0.43,0.2815,1,0,1,0
assamese,1XmqJbbPBhmcuqGQyK4fvnKSJdW7E3U0j,Assamese_66_2723,Assamese,All,20.55,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,2,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,167,0.30x,368.456,0.74830,0.5103,0.7241,0.8877,0.1123,2072,40.5,1584,31,171,3.3,0.7705,0.6842,0.7611,-0.0222,0.9673,0.4897,1,0,0,0
bhojpuri,1O83MkjCQ59-cgCfU1J8NtT6SnTgVWJ_7,Audio249,Bhojpuri,All,8.33,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,,,5,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,121,0.40x,198.071,0.74770,0.6386,0.7355,0.8395,0.1605,366,16.5,1257,56.6,37,1.7,0.7477,0.7477,0.7477,0,0.9003,0.3614,0,1,0,0
chattishgarhi,1PdROwGLVdEOc6cCS4pINNfhWqDE351xE,Chattishgarhi_203_2025,Chattishgarhi,All,12.38,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,19,0,openai_gpt4o,gpt-4o-transcribe,94,0.26x,194.657,0.74750,0.6501,0.7332,0.8391,0.1609,639,16.8,2126,56,74,1.9,0.7475,0.7475,0.7457,0,0.9001,0.3499,0.9636,0.0577,0.3333,0.0984
Indian Bengali,1o9fwun5OLvhE3oa3Af8YNNcRijWDV67N,Bengali (Non Kolkata)_120_2028,Bengali (Non Kolkata),All,13.98,Medium (5-15 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,High (>20s),Rapid Exchange,West Bengal,West Bengal,27,0,gladia,gladia-v2,302,0.07x,55.236,0.74610,0.5648,0.7316,0.8912,0.1088,1677,39.5,1407,33.1,84,2,0.7461,0.7461,0.743,0,0.7759,0.4352,0.9524,0.0833,0.0164,0.0274
chattishgarhi,1p-p4veRb9EYbRKjA8XYcf-1T_ondq0pH,Chattishgarhi_30_2053,Chattishgarhi,All,15.67,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Chhattisgarh,Chhattisgarh,15,0,openai_gpt4o,gpt-4o-transcribe,106,0.24x,222.564,0.74570,0.66,0.7248,0.8323,0.1677,689,16.6,2285,55.1,120,2.9,0.7457,0.7457,0.7461,0,0.621,0.34,0.9949,0.0156,0.25,0.0294
bhojpuri,1tseGQ03R77tQYxKim8VdnxwyZa4MOb2z,Audio234,Bhojpuri,All,14.37,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Monologue-like,,,8,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,88,0.37x,320.241,0.74550,0.6452,0.7257,0.8258,0.1742,576,14.7,2246,57.2,107,2.7,0.7455,0.7455,0.7451,0,0.8926,0.3548,1,0,0,0
chattishgarhi,1p-p4veRb9EYbRKjA8XYcf-1T_ondq0pH,Chattishgarhi_30_2053,Chattishgarhi,All,15.67,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Chhattisgarh,Chhattisgarh,15,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,152,0.27x,256.088,0.74520,0.6354,0.7306,0.8537,0.1463,918,22.1,2091,50.4,83,2,0.7452,0.7452,0.7431,0,0.6246,0.3646,0.9848,0.0469,0.75,0.0882
bhojpuri,1T1V3UxFOEAm5yyXMEgQYa_YXLpkDO-7f,Bhojpuri_21_2508,Bhojpuri,All,25.13,Long (15-30 min),Same Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Bihar,UP,7,0,openai_gpt4o,gpt-4o-transcribe,411,0.28x,425.816,0.74260,0.6156,0.7099,0.8394,0.1606,1387,22.4,2929,47.3,285,4.6,0.7426,0.7426,0.7447,0,0.8248,0.3844,0.9529,0.0538,0.5385,0.0979
chattishgarhi,1vx-Re1oomeQHw1mrY5jiOdej8ECSWx9h,Chattishgarhi_152_2026,Chattishgarhi,All,13.5,Medium (5-15 min),Same Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,13,0,gladia,gladia-v2,378,0.04x,31.551,0.74020,0.5811,0.7203,0.8934,0.1066,1577,46,867,25.3,95,2.8,0.7402,0.7402,0.7326,0,0.7506,0.4189,0.9565,0.0714,0.0092,0.0163
kannada,1vJFzXZIPdI75pKF0oWqADFnDfpQIqMls,Kannada_3_1609,Kannada,All,16.15,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Karnataka,Karnataka,12,0,assemblyai,universal,66,0.24x,230.861,0.73710,0.6784,0.7244,0.8128,0.1872,568,12.2,2777,59.7,82,1.8,0.7375,0.7371,0.7293,-0.0004,0.7985,0.3216,0.9954,0.009,1,0.0179
bhojpuri,1AEyYnG2gmceLNslC4PZgRmUSs61ws-sN,Bhojpuri_38_2003,Bhojpuri,All,20.05,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,Low (1-5s),Monologue-like,Bihar,Bihar,2,0,openai_gpt4o,gpt-4o-transcribe,297,0.28x,338.071,0.73490,0.6503,0.7191,0.8272,0.1728,904,16.8,2939,54.5,118,2.2,0.7349,0.7349,0.733,0,0.8042,0.3497,1,0,1,0
nepali,1eB1hDP31JNCYKIT40LJAeab1wOF87otF,Nepali_329_1611,Nepali,All,16.18,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,14,0,gladia,gladia-v2,289,0.05x,43.425,0.73330,0.607,0.7146,0.8505,0.1495,1169,25.5,2077,45.3,120,2.6,0.7337,0.7333,0.7256,-0.0004,0.8068,0.393,0.8611,0.2151,0.1581,0.1823
bhojpuri,19C-KTSD1oeS-dRRp-f_mxd-ExV3Y1JSx,Bhojpuri_39_2502,Bhojpuri,All,25.03,Long (15-30 min),Same Gender,Same State,Mixed Age Group,Has Overlap,Medium (5-20s),Rapid Exchange,Bihar,Bihar,18,1,openai_gpt4o_mini,gpt-4o-mini-transcribe,245,0.26x,385.84,0.73290,0.6466,0.7095,0.8216,0.1784,1015,17.2,3126,52.8,195,3.3,0.7337,0.7329,0.7296,-0.0008,0.7602,0.3534,0.9972,0.0063,1,0.0125
nepali,198tSr2Ix5KB94JUYp_oSiLL7mwdOqenM,Nepali_258_1339,Nepali,All,13.65,Medium (5-15 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Nepal,Nepal,7,0,assemblyai,universal,59,0.30x,219.947,0.73130,0.6311,0.7045,0.8267,0.1733,740,19.8,1850,49.5,142,3.8,0.732,0.7313,0.7278,-0.0008,0.9244,0.3689,0.9172,0.1274,0.8,0.2198
nepali,1k_QMejURVLFucc7OnDNWfN6IZIdTXHW5,Nepali_105_2546,Nepali,All,25.77,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,gladia,gladia-v2,448,0.04x,57.659,0.73040,0.5858,0.7053,0.8529,0.1471,2108,29.2,2900,40.2,257,3.6,0.7328,0.7304,0.7267,-0.0024,0.9152,0.4142,0.8115,0.2485,0.256,0.2522
Spoken Tamil,1ILnoGzERTw6oEMg8Q9eaINvYFxLhFOsI,Tamilish_338_1537,Spoken Tamil,All,15.62,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,8,0,gemini_flash,gemini-2.5-flash,262,0.12x,103.16,0.72930,0.4589,0.4957,0.6244,0.3756,1131,25.2,25,0.6,2112,47.1,0.7139,0.7293,0.9001,0.0154,0.822,0.5564,0.999,0.0019,1,0.0039
telugu,18EkC9iVmBGAWS8Rmrl1wbrR6M35NP0WE,Telugu_378_1038,Telugu,All,10.63,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Andhra Pradesh,Andhra Pradesh,3,0,gladia,gladia-v2,168,0.08x,48.202,0.72840,0.6203,0.7043,0.8496,0.1504,823,28.2,1204,41.2,100,3.4,0.7287,0.7284,0.7173,-0.0002,0.9418,0.3797,0.9386,0.097,0.2353,0.1373
nepali,1USNU1KzWb4naok7psL6rab24HqXgAIB9,Nepali_282_1759,Nepali,All,17.98,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,10,0,aws_transcribe,aws-transcribe,66,n/a,0,0.72750,0.6119,0.7164,0.8599,0.1401,1477,28.9,2168,42.4,79,1.5,0.7272,0.7275,0.7271,0.0002,0.9212,0.3881,1,0,1,0
bhojpuri,1TgIk5YZX60mLzAaKd9iG-NZwjxmvp7NK,Audio250,Bhojpuri,All,5.1,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,,,4,0,assemblyai,universal,20,0.89x,272.063,0.72500,0.7009,0.7221,0.7651,0.2349,73,4.8,1015,67.3,6,0.4,0.725,0.725,0.7233,0,0.7394,0.2991,1,0,1,0
chattishgarhi,1VuChHMX1AhHc9mBF8jdmZAeNFty73GKm,Chhattisgarhi_67_2000,Chattishgarhi,All,15,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Chhattisgarh,Chhattisgarh,17,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,98,0.29x,260.024,0.72440,0.6501,0.7161,0.8081,0.1919,454,13.1,2016,58.2,40,1.2,0.7244,0.7244,0.7246,0,0.9714,0.3499,1,0,0,0
nepali,1-SHtlemcF7PqMP1MAD0OhzNWy-MXWzxy,Nepali_77_1646,Nepali,All,16.77,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,gladia,gladia-v2,298,0.05x,54.631,0.72320,0.5703,0.7015,0.8565,0.1435,1506,32.1,1740,37.1,145,3.1,0.7234,0.7232,0.7237,-0.0002,0.4413,0.4297,0.7647,0.287,0.265,0.2756
chattishgarhi,1TjPU551NT6trlGVy_SPG361Gc6msipoB,Chattishgarhi_278_2026,Chattishgarhi,All,15.33,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,8,0,openai_gpt4o,gpt-4o-transcribe,225,0.27x,250.978,0.72310,0.6359,0.7063,0.7999,0.2001,596,12.7,2674,57.2,111,2.4,0.7231,0.7231,0.7238,0,0.9273,0.3641,1,0,0,0
